t_s,D_compressed_um,D_extended_um,eps_axial_pct,sigma_on
3.347712,195.8300,202.0850,2.085024,0
3.357089,195.8339,202.0831,2.083070,0
3.366467,195.8378,202.0811,2.081117,0
3.375844,195.8417,202.0792,2.079167,0
3.385221,195.8456,202.0772,2.077218,0
3.394599,195.8495,202.0753,2.075271,0
3.403976,195.8533,202.0733,2.073326,0
3.413353,195.8572,202.0714,2.071382,0
3.422731,195.8611,202.0694,2.069441,0
3.432108,195.8650,202.0675,2.067501,0
3.441485,195.8689,202.0656,2.065563,0
3.450863,195.8727,202.0636,2.063627,0
3.460240,195.8766,202.0617,2.061693,0
3.469617,195.8805,202.0598,2.059761,0
3.478995,195.8843,202.0578,2.057830,0
3.488372,195.8882,202.0559,2.055901,0
3.497749,195.8921,202.0540,2.053974,0
3.507127,195.8959,202.0520,2.052049,0
3.516504,195.8997,202.0501,2.050126,0
3.525881,195.9036,202.0482,2.048204,0
3.535259,195.9074,202.0463,2.046284,0
3.544636,195.9113,202.0444,2.044366,0
3.554014,195.9151,202.0425,2.042450,0
3.563391,195.9189,202.0405,2.040536,0
3.572768,195.9228,202.0386,2.038623,0
3.582146,195.9266,202.0367,2.036712,0
3.591523,195.9304,202.0348,2.034803,0
3.600900,195.9342,202.0329,2.032896,0
3.610278,195.9380,202.0310,2.030991,0
3.619655,195.9418,202.0291,2.029087,0
3.629032,195.9456,202.0272,2.027185,0
3.638410,195.9494,202.0253,2.025285,0
3.647787,195.9532,202.0234,2.023387,0
3.657164,195.9570,202.0215,2.021490,0
3.666542,195.9608,202.0196,2.019596,0
3.675919,195.9646,202.0177,2.017703,0
3.685296,195.9684,202.0158,2.015812,0
3.694674,195.9722,202.0139,2.013922,0
3.704051,195.9759,202.0120,2.012035,0
3.713428,195.9797,202.0101,2.010149,0
3.722806,195.9835,202.0083,2.008265,0
3.732183,195.9872,202.0064,2.006382,0
3.741560,195.9910,202.0045,2.004502,0
3.750938,195.9948,202.0026,2.002623,0
3.760315,195.9985,202.0007,2.000746,0
3.769692,196.0023,201.9989,1.998870,0
3.779070,196.0060,201.9970,1.996997,0
3.788447,196.0097,201.9951,1.995125,0
3.797824,196.0135,201.9933,1.993255,0
3.807202,196.0172,201.9914,1.991387,0
3.816579,196.0210,201.9895,1.989520,0
3.825956,196.0247,201.9877,1.987656,0
3.835334,196.0284,201.9858,1.985793,0
3.844711,196.0321,201.9839,1.983931,0
3.854089,196.0359,201.9821,1.982072,0
3.863466,196.0396,201.9802,1.980214,0
3.872843,196.0433,201.9784,1.978358,0
