t_s,eps_single_pct,eps_mod_pct,sigma_on
1.494299,0.138131,2.509758,0
1.500300,0.134855,2.508243,0
1.506301,0.131657,2.506730,0
1.512302,0.128534,2.505217,0
1.518304,0.125485,2.503707,0
1.524305,0.122509,2.502197,0
1.530306,0.119603,2.500689,0
1.536307,0.116766,2.499182,0
1.542308,0.113996,2.497677,0
1.548310,0.111293,2.496172,0
1.554311,0.108653,2.494669,0
1.560312,0.106076,2.493168,0
1.566313,0.103560,2.491667,0
1.572314,0.101103,2.490168,0
1.578316,0.098705,2.488669,0
1.584317,0.096364,2.487172,0
1.590318,0.094078,2.485676,0
1.596319,0.091847,2.484181,0
1.602320,0.089669,2.482688,0
1.608322,0.087542,2.481195,0
1.614323,0.085465,2.479703,0
1.620324,0.083438,2.478213,0
1.626325,0.081459,2.476724,0
1.632326,0.079527,2.475235,0
1.638328,0.077641,2.473748,0
1.644329,0.075799,2.472261,0
1.650330,0.074001,2.470776,0
1.656331,0.072246,2.469292,0
1.662332,0.070532,2.467809,0
1.668334,0.068859,2.466326,0
1.674335,0.067226,2.464845,0
1.680336,0.065632,2.463365,0
1.686337,0.064075,2.461885,0
1.692338,0.062555,2.460407,0
1.698340,0.061071,2.458930,0
1.704341,0.059623,2.457453,0
1.710342,0.058209,2.455978,0
1.716343,0.056828,2.454503,0
1.722344,0.055480,2.453030,0
1.728346,0.054164,2.451557,0
1.734347,0.052879,2.450085,0
1.740348,0.051625,2.448615,0
1.746349,0.050401,2.447145,0
1.752350,0.049205,2.445676,0
1.758352,0.048038,2.444208,0
1.764353,0.046899,2.442741,0
1.770354,0.045786,2.441275,0
1.776355,0.044700,2.439809,0
1.782356,0.043640,2.438345,0
1.788358,0.042605,2.436882,0
1.794359,0.041594,2.435419,0
1.800360,0.040608,2.433958,0
1.806361,0.039645,2.432497,0
1.812362,0.038704,2.431037,0
1.818364,0.037786,2.429578,0
1.824365,0.036890,2.428120,0
1.830366,0.036015,2.426663,0
1.836367,0.035161,2.425207,0
1.842368,0.034327,2.423752,0
1.848370,0.033513,2.422298,0
1.854371,0.032718,2.420844,0
1.860372,0.031942,2.419391,0
1.866373,0.031184,2.417940,0
1.872374,0.030444,2.416489,0
1.878376,0.029722,2.415039,0
1.884377,0.029017,2.413590,0
1.890378,0.028329,2.412142,0
1.896379,0.027657,2.410694,0
1.902380,0.027001,2.409248,0
1.908382,0.026361,2.407802,0
1.914383,0.025735,2.406358,0
1.920384,0.025125,2.404914,0
1.926385,0.024529,2.403471,0
1.932386,0.023947,2.402029,0
1.938388,0.023379,2.400588,0
1.944389,0.022825,2.399147,0
1.950390,0.022283,2.397708,0
1.956391,0.021755,2.396269,0
1.962392,0.021239,2.394832,0
1.968394,0.020735,2.393395,0
1.974395,0.020243,2.391959,0
1.980396,0.019763,2.390524,0
1.986397,0.019294,2.389089,0
1.992398,0.018837,2.387656,0
1.998400,0.018390,2.386223,0
2.004401,0.017954,2.384792,0
2.010402,0.017528,2.383361,0
2.016403,0.017112,2.381931,0
2.022404,0.016706,2.380502,0
2.028406,0.016310,2.379074,0
2.034407,0.015923,2.377646,0
2.040408,0.015545,2.376220,0
2.046409,0.015177,2.374794,0
2.052410,0.014817,2.373370,0
2.058412,0.014465,2.371946,0
2.064413,0.014122,2.370523,0
2.070414,0.013787,2.369100,0
2.076415,0.013460,2.367679,0
2.082416,0.013141,2.366259,0
2.088418,0.012829,2.364839,0
2.094419,0.012525,2.363420,0
2.100420,0.012228,2.362002,0
2.106421,0.011938,2.360585,0
2.112422,0.011655,2.359169,0
2.118424,0.011378,2.357754,0
2.124425,0.011108,2.356339,0
2.130426,0.010845,2.354925,0
2.136427,0.010588,2.353512,0
2.142428,0.010337,2.352101,0
2.148430,0.010091,2.350689,0
2.154431,0.009852,2.349279,0
2.160432,0.009618,2.347870,0
2.166433,0.009390,2.346461,0
2.172434,0.009167,2.345053,0
2.178436,0.008950,2.343646,0
2.184437,0.008738,2.342240,0
2.190438,0.008531,2.340835,0
2.196439,0.008328,2.339431,0
2.202440,0.008131,2.338027,0
2.208442,0.007938,2.336625,0
2.214443,0.007750,2.335223,0
2.220444,0.007566,2.333822,0
2.226445,0.007386,2.332422,0
2.232446,0.007211,2.331022,0
2.238448,0.007040,2.329624,0
2.244449,0.006873,2.328226,0
2.250450,0.006710,2.326829,0
2.256451,0.006551,2.325433,0
2.262452,0.006395,2.324038,0
2.268454,0.006244,2.322644,0
2.274455,0.006096,2.321250,0
2.280456,0.005951,2.319858,0
2.286457,0.005810,2.318466,0
2.292458,0.005672,2.317075,0
2.298460,0.005538,2.315685,0
2.304461,0.005406,2.314296,0
2.310462,0.005278,2.312907,0
2.316463,0.005153,2.311520,0
2.322464,0.005031,2.310133,0
2.328466,0.004911,2.308747,0
2.334467,0.004795,2.307362,0
2.340468,0.004681,2.305978,0
2.346469,0.004570,2.304594,0
2.352470,0.004462,2.303212,0
2.358472,0.004356,2.301830,0
2.364473,0.004253,2.300449,0
2.370474,0.004152,2.299069,0
2.376475,0.004053,2.297689,0
2.382476,0.003957,2.296311,0
2.388478,0.003863,2.294933,0
2.394479,0.003772,2.293556,0
2.400480,0.003682,2.292180,0
2.406481,0.003595,2.290805,0
2.412482,0.003509,2.289431,0
2.418484,0.003426,2.288057,0
2.424485,0.003345,2.286685,0
2.430486,0.003266,2.285313,0
2.436487,0.003188,2.283942,0
2.442488,0.003113,2.282571,0
2.448490,0.003039,2.281202,0
2.454491,0.002967,2.279834,0
2.460492,0.002896,2.278466,0
2.466493,0.002828,2.277099,0
2.472494,0.002761,2.275733,0
2.478496,0.002695,2.274367,0
2.484497,0.002631,2.273003,0
2.490498,0.002569,2.271639,0
2.496499,0.002508,2.270276,0
2.502501,0.087295,2.367339,1
2.508502,0.287440,2.593795,1
2.514503,0.482838,2.808948,1
2.520504,0.673602,3.013454,1
2.526505,0.859840,3.207933,1
2.532507,1.041661,3.392968,1
2.538508,1.219170,3.569107,1
2.544509,1.392468,3.736867,1
2.550510,1.561656,3.896736,1
2.556511,1.726831,4.049172,1
2.562513,1.888088,4.194607,1
2.568514,2.045520,4.333447,1
2.574515,2.199218,4.466075,1
2.580516,2.349271,4.592853,1
2.586517,2.495764,4.714119,1
2.592519,2.638783,4.830194,1
2.598520,2.778409,4.941379,1
2.604521,2.914724,5.047958,1
2.610522,3.047806,5.150198,1
2.616523,3.177730,5.248350,1
2.622525,3.304574,5.342651,1
2.628526,3.428408,5.433325,1
2.634527,3.549306,5.520581,1
2.640528,3.667336,5.604619,1
2.646529,3.782566,5.685623,1
2.652531,3.895063,5.763770,1
2.658532,4.004892,5.839225,1
2.664533,4.112116,5.912143,1
2.670534,4.216796,5.982672,1
2.676535,4.318994,6.050949,1
2.682537,4.418767,6.117105,1
2.688538,4.516174,6.181261,1
2.694539,4.611271,6.243533,1
2.700540,4.704112,6.304030,1
2.706541,4.794751,6.362855,1
2.712543,4.883240,6.420102,1
2.718544,4.969631,6.475864,1
2.724545,5.053972,6.530225,1
2.730546,5.136312,6.583267,1
2.736547,5.216700,6.635064,1
2.742549,5.295181,6.685688,1
2.748550,5.371800,6.735207,1
2.754551,5.446603,6.783683,1
2.760552,5.519630,6.831176,1
2.766553,5.590926,6.877743,1
2.772555,5.660531,6.923437,1
2.778556,5.728485,6.968306,1
2.784557,5.794827,7.012398,1
2.790558,5.859595,7.055757,1
2.796559,5.922827,7.098425,1
2.802561,5.984559,7.140441,1
2.808562,6.044827,7.181842,1
2.814563,6.103666,7.222662,1
2.820564,6.161109,7.262934,1
2.826565,6.217190,7.302690,1
2.832567,6.271940,7.341957,1
2.838568,6.325392,7.380764,1
2.844569,6.377576,7.419136,1
